"","player","mins","fgm","fga","3ptm","3pta","ftm","fta","oreb","dreb","stl","blk","to","pf","pts","ast","school_name","2ptm","2pta","sum_poss","sum_mins","estimated_poss_on_court","3pta_poss","2pta_poss","fta_poss","oreb_poss","dreb_poss","ast_poss","stl_poss","blk_poss","to_poss","pf_poss","3p%","2p%","ft%"
"1","A. Demir",822,91,220,14,56,43,56,49,119,18,15,33,78,239,50,"Minnesota",77,164,2237.125,6650,1383,0.0404916847433116,0.118582791033984,0.0404916847433116,0.0354302241503977,0.0860448300795372,0.0361532899493854,0.0130151843817787,0.0108459869848156,0.0238611713665944,0.0563991323210412,0.25,0.469512195121951,0.767857142857143
"2","D. Oturu",1117,254,448,20,54,132,191,119,248,19,84,100,89,660,35,"Minnesota",234,394,2237.125,6650,1879,0.028738690792975,0.209686003193188,0.101649813730708,0.0633315593400745,0.131985098456626,0.018626929217669,0.010111761575306,0.0447046301224055,0.0532197977647685,0.047365620010644,0.37037037037037,0.593908629441624,0.691099476439791
"3","G. Kalscheur",1100,132,360,78,236,31,44,17,72,31,8,48,84,373,49,"Minnesota",54,124,2237.125,6650,1850,0.127567567567568,0.067027027027027,0.0237837837837838,0.00918918918918919,0.0389189189189189,0.0264864864864865,0.0167567567567568,0.00432432432432432,0.0259459459459459,0.0454054054054054,0.330508474576271,0.435483870967742,0.704545454545455
"4","I. Ihnen",257,28,66,18,49,2,2,19,39,5,12,14,26,76,14,"Minnesota",10,17,2237.125,6650,432,0.113425925925926,0.0393518518518519,0.00462962962962963,0.0439814814814815,0.0902777777777778,0.0324074074074074,0.0115740740740741,0.0277777777777778,0.0324074074074074,0.0601851851851852,0.36734693877551,0.588235294117647,1
"5","J. Omersa",376,29,57,0,1,4,16,35,44,15,18,15,62,62,19,"Minnesota",29,56,2237.125,6650,632,0.00158227848101266,0.0886075949367089,0.0253164556962025,0.055379746835443,0.069620253164557,0.0300632911392405,0.0237341772151899,0.0284810126582278,0.0237341772151899,0.0981012658227848,0,0.517857142857143,0.25
"6","M. Carr",1221,161,422,54,155,114,163,32,146,27,3,86,91,490,220,"Minnesota",107,267,2237.125,6650,2054,0.0754625121713729,0.129990262901655,0.0793573515092502,0.0155793573515093,0.071080817916261,0.107108081791626,0.0131450827653359,0.00146056475170399,0.0418695228821811,0.0443037974683544,0.348387096774194,0.400749063670412,0.699386503067485
"7","M. Hurt",262,15,35,6,15,2,8,9,28,0,4,14,11,38,18,"Minnesota",9,20,2237.125,6650,441,0.0340136054421769,0.0453514739229025,0.018140589569161,0.0204081632653061,0.0634920634920635,0.0408163265306122,0,0.0090702947845805,0.0317460317460317,0.0249433106575964,0.4,0.45,0.25
"8","P. Willis",885,91,243,61,174,14,18,12,91,23,8,17,48,257,59,"Minnesota",30,69,2237.125,6650,1489,0.116856950973808,0.0463398253861652,0.0120886501007388,0.00805910006715917,0.061114842175957,0.0396239086635326,0.0154466084620551,0.00537273337810611,0.0114170584284755,0.0322364002686367,0.350574712643678,0.434782608695652,0.777777777777778
"9","T. Williams",583,45,142,17,65,22,39,19,67,13,9,29,58,129,30,"Minnesota",28,77,2237.125,6650,981,0.0662589194699287,0.0784913353720693,0.0397553516819572,0.0193679918450561,0.0682976554536188,0.0305810397553517,0.0132517838939857,0.00917431192660551,0.0295616717635066,0.0591233435270133,0.261538461538462,0.363636363636364,0.564102564102564
