"","player","mins","fgm","fga","3ptm","3pta","ftm","fta","oreb","dreb","stl","blk","to","pf","pts","ast","school_name","2ptm","2pta","sum_poss","sum_mins","estimated_poss_on_court","3pta_poss","2pta_poss","fta_poss","oreb_poss","dreb_poss","ast_poss","stl_poss","blk_poss","to_poss","pf_poss","3p%","2p%","ft%"
"1","B. Evelyn",606,36,104,21,69,29,33,14,37,12,2,47,54,122,63,"Iowa",15,35,2323.725,6600,1067,0.0646672914714152,0.0328022492970947,0.0309278350515464,0.0131208997188379,0.0346766635426429,0.0590440487347704,0.0112464854732896,0.00187441424554827,0.0440487347703843,0.0506091846298032,0.304347826086957,0.428571428571429,0.878787878787879
"2","C. Fredrick",746,91,187,49,106,35,45,16,33,17,5,32,45,266,71,"Iowa",42,81,2323.725,6600,1313,0.0807311500380807,0.0616907844630617,0.0342726580350343,0.0121858339680122,0.0251332825590251,0.0540746382330541,0.0129474485910129,0.00380807311500381,0.0243716679360244,0.0342726580350343,0.462264150943396,0.518518518518518,0.777777777777778
"3","C. McCaffery",1002,58,172,36,104,55,70,22,110,38,3,29,83,207,131,"Iowa",22,68,2323.725,6600,1764,0.0589569160997732,0.0385487528344671,0.0396825396825397,0.0124716553287982,0.0623582766439909,0.0742630385487528,0.0215419501133787,0.00170068027210884,0.0164399092970522,0.0470521541950113,0.346153846153846,0.323529411764706,0.785714285714286
"4","C. Pemsl",381,29,56,1,4,27,46,23,70,8,10,26,32,86,37,"Iowa",28,52,2323.725,6600,671,0.00596125186289121,0.0774962742175857,0.0685543964232489,0.0342771982116244,0.104321907600596,0.0551415797317437,0.0119225037257824,0.014903129657228,0.0387481371087928,0.0476900149031297,0.25,0.538461538461538,0.58695652173913
"5","J. Bohannon",275,25,88,20,63,18,18,1,20,8,0,11,19,88,43,"Iowa",5,25,2323.725,6600,484,0.130165289256198,0.0516528925619835,0.0371900826446281,0.00206611570247934,0.0413223140495868,0.0888429752066116,0.0165289256198347,0,0.0227272727272727,0.0392561983471074,0.317460317460317,0.2,1
"6","J. Toussaint",582,70,186,12,38,55,67,22,45,39,2,64,65,207,92,"Iowa",58,148,2323.725,6600,1025,0.0370731707317073,0.144390243902439,0.0653658536585366,0.0214634146341463,0.0439024390243902,0.0897560975609756,0.0380487804878049,0.00195121951219512,0.0624390243902439,0.0634146341463415,0.315789473684211,0.391891891891892,0.82089552238806
"7","J. Wieskamp",1077,153,359,57,158,97,113,46,156,32,17,51,48,460,52,"Iowa",96,201,2323.725,6600,1896,0.0833333333333333,0.106012658227848,0.0595991561181435,0.0242616033755274,0.0822784810126582,0.0274261603375527,0.0168776371308017,0.0089662447257384,0.0268987341772152,0.0253164556962025,0.360759493670886,0.477611940298507,0.858407079646018
"8","L. Garza",1049,306,568,41,114,132,203,119,204,29,57,63,86,785,39,"Iowa",265,454,2323.725,6600,1847,0.0617217108825122,0.245804006497022,0.109907958852193,0.0644288034650785,0.110449377368706,0.0211153221440173,0.0157011369788847,0.0308608554412561,0.0341093665403357,0.0465619924201408,0.359649122807018,0.583700440528634,0.650246305418719
"9","R. Kriener",617,99,190,15,51,42,55,47,92,11,28,42,63,255,28,"Iowa",84,139,2323.725,6600,1086,0.0469613259668508,0.127992633517495,0.0506445672191529,0.0432780847145488,0.0847145488029466,0.0257826887661142,0.0101289134438306,0.0257826887661142,0.0386740331491713,0.0580110497237569,0.294117647058824,0.60431654676259,0.763636363636364
